client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952293.mp3	Het lijkt erop dat dat nog niet helemaal is doorgedrongen.	0	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952295.mp3	Dat zou een verkeerd signaal naar de buitenwereld zijn.	0	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952296.mp3	Wij proberen de zaken op een snelle manier te doen.	0	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952319.mp3	U hebt zelf gezegd dat we geen bemiddelende rol spelen in het gasconflict.	0	1				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952320.mp3	Tegelijkertijd zijn het lokale kapitaal en het buitenlandse kapitaal rijker geworden.	0	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952321.mp3	Het verontrust ons dat de hoeveelheid registers en gegevensverzamelingen nog steeds toeneemt.	0	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952322.mp3	Deze maatregelen, hoe positief ook, zullen slechts tijdelijke verlichting van het probleem opleveren.	1	1				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952323.mp3	Bij de invoering van de euro hebben de burgers dat ook van ons gevraagd.	1	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952324.mp3	Ter afsluiting van dit punt nog een opmerking terzijde.	1	1				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952325.mp3	Op die manier bestaat het concrete gevaar van grote ongelukken.	1	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952326.mp3	Nu zijn de regeringen aan zet.	0	0				nl	
825de28c1f446143242ca67d6122dbc3f54b89c600ddf7b041ea141602e18daf687cc4970bd71e58f91cc515fcd34a5856abaa20a0eeece3528bc5f4c074787f	common_voice_nl_34952327.mp3	Wij willen een onafhankelijke bank.	1	0				nl	
